ID,Dataset,Recording time,Rain,Rain state,Wind,Sea state,Name,CPA time,Ship ID,SHIPTYPE,DETAILED TYPE,Length
0044,A,300,0,No rain,3.5,2,GH NAVIGATOR,150,201,Special Craft,Offshore Supply Ship,77
0045,A,300,0,No rain,3.9,2,TS INCRIVEL,150,600,Tug,Tug,27
0046,A,300,0,No rain,7.2,4,MERCOSUL ITAJAI,150,354,Cargo,Container Ship,195
0047,A,300,0,No rain,7.1,4,TS SOBERANO,150,604,Tug,Tug,27
0048,A,300,0,No rain,5.5,3,TS INCRIVEL,150,600,Tug,Tug,27
0049,A,209,0,No rain,8.2,4,PILOT 08,100,451,Special Craft,Pilot Vessel,12
0050,A,300,0.6,Light,4.7,3,RED BOAT RJ 07,150,477,Special Craft,Pilot Vessel,11
0051,A,222,0,No rain,6.5,3,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0052,A,240,0,No rain,5.4,3,PILOT 01,112,448,Special Craft,Pilot Vessel,11
0053,A,300,0,No rain,4,2,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0054,A,300,0,No rain,4,2,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0055,A,270,0,No rain,5.3,3,PILOT 10,120,453,Special Craft,Pilot Vessel,11
0056,A,300,0,No rain,4.7,3,PILOT 10,150,453,Special Craft,Pilot Vessel,11
0057,A,188,0,No rain,8.5,4,LUCHOW,97,302,Cargo,Bulk Carrier,180
0058,A,225,0,No rain,5.4,3,PILOT 10,75,453,Special Craft,Pilot Vessel,11
0059,A,300, - , - , - , - ,DAIWAN GLORY,150,139,Cargo,Bulk Carrier,177
0060,A,272, - , - , - , - ,EUROPE,150,170,Cargo,Bulk Carrier,292
0061,A,300,0,No rain,1.8,1,ANTHEA Y,150,27,Cargo,Container Ship,300
0062,A,272,0,No rain,2.5,1,MSC CELINE,150,382,Cargo,Container Ship,210
0063,A,271,0,No rain,5.7,3,POCAHONTAS / MINERAL BEIJING,121,462,Cargo,Bulk Carrier,289
0064,A,300,0,No rain,2.3,1,MINERAL DRAGON,150,360,Cargo,Bulk Carrier,292
0065,A,300,0,No rain,2.6,2,SPRING SWEETBRIER,150,550,Cargo,Ore Carrier,320
0066,A,211,0,No rain,2.9,2,APOLLONIUS,150,31,Cargo,Bulk Carrier,292
0067,A,294,0,No rain,6,3,GREAT JIN,150,226,Cargo,Bulk Carrier,292
0068,A,300,0,No rain,5.7,3,GSL ARCADIA / E.R.BERLIN,150,230,Cargo,Container Ship,277
0069,A,300,0,No rain,6.5,3,BERGE NYANGANI / TENSHU MARU,150,64,Cargo,Bulk Carrier,292
0070,A,300,0,No rain,5,3,BAO GUO,150,48,Cargo,Bulk Carrier,300
0071,A,300,0,No rain,2.2,1,SEBASTIAO CABOTO,150,522,Cargo,Container Ship,228
0072,A,300,0,No rain,3.8,2,BBG DREAM,150,56,Cargo,Bulk Carrier,225
0073,A,273,0,No rain,4,2,MARCILIO DIAS,150,339,Tanker,Crude Oil Tanker,274
0074,A,270,0,No rain,3.5,2,CBO CAROLINA,150,106,Special Craft,Offshore Supply Ship,77
0075,A,300,0,No rain,2.7,2,PILOT 10,150,453,Special Craft,Pilot Vessel,11
0076,A,211,0,No rain,0.4,1,ANITA GARIBALDI,61,23,Tanker,Oil Products Tanker,228
0077,A,300,0,No rain,5.9,3,NORMAND CARIOCA,150,410,Special Craft,Supply Vessel,88
0078,A,300,0,No rain,6.5,3,ZHONG AN YANG,150,641,Cargo,Bulk Carrier,225
0079,A,300,0,No rain,13.1,6,CBO CAROLINA,150,106,Special Craft,Offshore Supply Ship,77
0080,A,300,0,No rain,3.9,2,MAERSK LABREA,150,314,Cargo,Container Ship,300
0081,A,247,0,No rain,3,2,VALUE,97,618,Cargo,Container Ship,300
0082,A,184,1,Light,6.6,3,FRATERNELLE,61,187,Cargo,Bulk Carrier,229
0083,A,273,0,No rain,2.4,1,STAR AQUA,123,552,Cargo,Bulk Carrier,289
0084,A,211,0,No rain,2.3,1,SINOGLORY,61,532,Cargo,Ore Carrier,322
0085,A,273,0,No rain,5.2,3,MAERSK LABERINTO,150,313,Cargo,Container Ship,300
0086,A,300,0,No rain,2.1,1,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0087,A,212,0,No rain,5.8,3,PEARL RIVER,62,444,Special Craft,Suction Dredger,182
0088,A,290,0,No rain,2.6,2,PEARL RIVER,140,444,Special Craft,Suction Dredger,182
0089,A,300,0,No rain,2.6,2,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0090,A,300,0,No rain,7.1,4,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0091,A,273,0,No rain,2.3,1,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0092,A,300,0,No rain,4.4,2,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0093,A,273,0.6,Light,3.2,2,PEARL RIVER,123,444,Special Craft,Suction Dredger,182
0094,A,211,0,No rain,2.2,1,PEARL RIVER,61,444,Special Craft,Suction Dredger,182
0095,A,300,0,No rain,4.8,3,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0096,A,235,0,No rain,3.1,2,PEARL RIVER,85,444,Special Craft,Suction Dredger,182
0097,A,211,0,No rain,6.6,3,QMS NEPTUNE,61,470,Special Craft,Multi Purpose Offshore Vessel,65
0098,A,274,0,No rain,4.5,3,CBO CAROLINA,124,106,Special Craft,Offshore Supply Ship,77
0099,A,300,0,No rain,3.7,2,SKANDI PEREGRINO,150,537,Special Craft,Anchor Handling Vessel,75
0100,A,240,0,No rain,5.1,3,PILOT 11,90,454,Special Craft,Pilot Vessel,13
0101,A,300,0,No rain,2.3,1,SAN FERNANDO,150,501,Cargo,Container Ship,300
0102,A,300,0,No rain,5,3,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0103,A,230,0,No rain,3.5,2,GREAT ZHOU,80,229,Cargo,Bulk Carrier,295
0104,A,300,0,No rain,5.5,3,PEARL RIVER,150,444,Special Craft,Suction Dredger,182
0105,A,300,0,No rain,5.1,3,MAERSK VENTURA,150,326,Special Craft,Offshore Supply Ship,81
0106,A,300,0,No rain,6.8,3,ATAHUALPA,150,40,Tanker,Oil Products Tanker,180
0107,A,250,0,No rain,6.1,3,ENCO,100,161,Tug,Tug,33
0108,A,300,0,No rain,3.4,2,NSU INSPIRE,150,418,Cargo,Ore Carrier,330
0109,A,290,0,No rain,3.5,2,CAPRICORN ONE,140,94,Cargo,Bulk Carrier,292
0110,A,241,0,No rain,1.8,1,ENCO,91,161,Tug,Tug,33
0111,A,300,0,No rain,4.2,2,STOLT KASHI,150,566,Tanker,Oil/Chemical Tanker,159
0112,A,220,0,No rain,3.1,2,CASTILLO DE HERRERA,70,104,Tanker,Oil/Chemical Tanker,135
0113,A,220,0,No rain,3.1,2,CASTILLO DE HERRERA,70,104,Tanker,Oil/Chemical Tanker,135
0114,A,300,0,No rain,10.5,5,C OURO,150,77,Special Craft,Offshore Supply Ship,72
0115,A,300,0,No rain,1.4,1,PILOT 10,150,453,Special Craft,Pilot Vessel,11
0116,A,300,0,No rain,8.7,4,TABEA,150,573,Cargo,Container Ship,276
0117,A,300,0,No rain,8.6,4,LOUIS P,150,301,Tanker,Oil/Chemical Tanker,204
0118,A,300,0.2,Light,12.7,6,NORMAND CARIOCA,150,410,Special Craft,Supply Vessel,88
0119,A,280,0,No rain,10.3,5,MAERSK VENTURA,130,326,Special Craft,Offshore Supply Ship,81
0120,A,290,0,No rain,2.6,2,HOS RUNNING BUCK,150,251,Special Craft,Offshore Supply Ship,84
0121,A,250,0,No rain,6.6,3,MSC ORIANE,100,392,Cargo,Container Ship,278
0122,A,290,0,No rain,3.9,2,MSC FIAMMETTA,140,386,Cargo,Container Ship,277
0123,A,270,0,No rain,7.1,4,MAERSK VENTURA,120,326,Special Craft,Offshore Supply Ship,81
0124,A,270,0,No rain,3.1,2,GLORY AMSTERDAM,120,207,Cargo,Bulk Carrier,225
0125,A,300,0,No rain,2.1,1,CAPE ARTEMISIO,150,87,Cargo,Container Ship,330
0126,A,300,0,No rain,0,1,STOLT FLAMENCO,150,565,Tanker,Oil/Chemical Tanker,124
0127,A,300,0,No rain,3.3,2,WINNING BROTHER,150,633,Cargo,Bulk Carrier,290
0128,A,220,0,No rain,3.8,2,ENCO,150,161,Tug,Tug,33
0129,A,240,0,No rain,5.7,3,SIEM ATLAS,90,526,Special Craft,Offshore Supply Ship,88
0130,A,300,0.4,Light,2.4,1,MAERSK VENTURA,150,326,Special Craft,Offshore Supply Ship,81
0131,A,230,0,No rain,2.2,1,NORMAND TURMALINA,150,413,Special Craft,Anchor Handling Vessel,81
0132,A,300,0,No rain,5.4,3,YUANPING SEA,150,639,Cargo,Bulk Carrier,190
0133,A,300,0,No rain,3,2,TS EXIBIDO,150,596,Tug,Tug,30
0134,A,250,0,No rain,2.8,2,MONTE OLIVIA,100,367,Cargo,Container Ship,272
0135,A,260,5.2,Heavy,5.1,3,VALMIERA,110,617,Cargo,General Cargo,107
0136,A,300,0,No rain,4.3,2,NORMAND TURMALINA,150,413,Special Craft,Anchor Handling Vessel,81
0137,A,211,0,No rain,5.3,3,ENCO,61,161,Tug,Tug,33
0138,A,240,0,No rain,9.8,4,DEO VOLENTE,90,146,Cargo,General Cargo,105
0139,A,183,0,No rain,7.4,4,MYRA,70,401,Cargo,Bulk Carrier,230
0140,A,300,0,No rain,5.8,3,NORMAND CARIOCA,150,410,Special Craft,Supply Vessel,88
0141,A,230,0,No rain,4.3,2,DARYA GAYATRI,130,143,Cargo,Bulk Carrier,229
0142,A,300,0,No rain,4.3,2,PILOT 11,150,454,Special Craft,Pilot Vessel,13
0143,A,290,0,No rain,12.1,5,MG KRONOS,140,358,Cargo,Bulk Carrier,229
0144,A,300,0,No rain,4.5,3,MONTE CERVANTES,150,366,Cargo,Container Ship,272
0145,A,290,0,No rain,8.7,4,MASA / MAISA,140,347,Tanker,Oil Products Tanker,161
0146,A,300,0,No rain,9.6,4,PILOT 10,150,453,Special Craft,Pilot Vessel,11
0147,A,277,0,No rain,5.2,3,SKS DOURO,127,540,Tanker,Crude Oil Tanker,250
0148,A,300,0,No rain,5.9,3,STARNAV AQUARIUS,150,557,Special Craft,Offshore Supply Ship,90
0149,A,300,0,No rain,2.3,1,CAMPOS CAPTAIN,150,80,Special Craft,Offshore Supply Ship,85
0150,A,280,0,No rain,8.7,4,IVESTOS 7,130,267,Cargo,Bulk Carrier,225
0151,A,300,0,No rain,7.9,4,YANKEE BRAVO,150,636,Pleasure Craft,Pleasure Craft,8
0152,A,250,0,No rain,5.6,3,KOTA CEMPAKA,150,286,Cargo,Container Ship,300
0153,A,220,0,No rain,5.1,3,ZEUGMAN,150,640,Tanker,Oil/Chemical Tanker,109
0154,A,300,0,No rain,2.5,1,PILOT 11,150,454,Special Craft,Pilot Vessel,13
0155,A,250,0,No rain,6.5,3,PILOT 11,100,454,Special Craft,Pilot Vessel,13
0156,A,260,0,No rain,3.2,2,GRAZIA COSULICH,110,224,Tanker,Oil Products Tanker,86
0157,A,260,0,No rain,3.3,2,PILOT 09,110,452,Special Craft,Pilot Vessel,12
0158,A,300,0,No rain,5.3,3,CMB VAN DIJCK,150,123,Cargo,Bulk Carrier,200
0159,A,300,0,No rain,3.4,2,SKS DOURO,150,540,Tanker,Crude Oil Tanker,250
0160,A,300,0,No rain,11.3,5,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0161,A,300,0,No rain,1.9,1,SUPERBA,150,571,Tanker,Oil/Chemical Tanker,292
0162,A,300,0,No rain,2.3,1,SM LION,150,542,Cargo,Bulk Carrier,300
0163,A,290,0,No rain,6.2,3,GORTYNIA,140,213,Cargo,Bulk Carrier,292
0164,A,300,0,No rain,3.6,2,STAR LEO,150,554,Cargo,Bulk Carrier,300
0165,A,300,0,No rain,4.2,2,DON IGNACIO,150,152,Special Craft,Offshore Supply Ship,62
0166,A,297,0,No rain,6.6,3,SOLAR HOPE,147,544,Cargo,Bulk Carrier,292
0167,A,235,0,No rain,2.5,1,OCEAN LEO,150,420,Cargo,Bulk Carrier,289
0168,A,211,2.2,Moderate,3.6,2,LONDON SPIRIT,61,299,Cargo,Bulk Carrier,300
0169,A,300,0,No rain,4,2,KSL SAKURA,150,287,Cargo,Bulk Carrier,292
0170,A,300,0,No rain,2.2,1,ARIS T,150,37,Cargo,Bulk Carrier,230
0171,A,300,0,No rain,8.5,4,SINOCARRIER,150,531,Cargo,Ore Carrier,324
0172,A,300,0,No rain,2.3,1,GOLDEN INCUS,150,211,Cargo,Bulk Carrier,292
0173,A,270,0,No rain,2.2,1,V STAR,150,615,Cargo,Bulk Carrier,190
0174,A,271,0,No rain,3.2,2,ORE BAYOVAR,121,430,Cargo,Bulk Carrier,290
0175,A,300,0,No rain,2.7,2,SANTA IRINI / CLIPPER VICTORY,150,504,Cargo,Bulk Carrier,225
0176,A,300,0,No rain,1.2,1,MARAN HOPE,150,335,Cargo,Bulk Carrier,292
0177,A,300,0,No rain,3.8,2,BERGE ELBRUS / STELLA ISABEL,150,60,Cargo,Ore Carrier,325
0178,A,300,0,No rain,2.8,2,MAERSK LEBU,150,317,Cargo,Container Ship,300
0179,A,300,0,No rain,1.6,1,LAMBERT MARU,150,291,Cargo,Bulk Carrier,292
0180,A,286,0,No rain,1.6,1,MAERSK LETICIA,136,319,Cargo,Container Ship,300
0181,A,245,0,No rain,2.3,1,MAERSK LETICIA,95,319,Cargo,Container Ship,300
0182,A,239,0.2,Light,2.6,2,VITORIA LX,150,625,Tug,Tug,24
0183,A,230,0,No rain,2.1,1,GRAMPUS CHARM,150,217,Cargo,Bulk Carrier,229
0184,A,300,0,No rain,2.8,2,PACIFIC CORAL,150,433,Cargo,Ore Carrier,324
0185,A,300,0,No rain,2.8,2,BERGE BINTUMANI  / CAPE FUSHEN,150,59,Cargo,Bulk Carrier,292
0186,A,300,0,No rain,1.8,1,OLAVO BILAC,150,426,Tanker,Crude Oil Tanker,250
0187,A,300,0,No rain,0.4,1,SALLIE KNUTSEN,150,497,Tanker,Shuttle Tanker,274
0188,A,264,0,No rain,3.6,2,STINNES ZEPHIR,150,564,Cargo,General Cargo,145
0189,A,270,0,No rain,6.3,3,MAERSK VEGA,120,325,Special Craft,Offshore Supply Ship,89
0190,A,300,0,No rain,4.3,2,SAAVEDRA TIDE,150,492,Special Craft,Offshore Supply Ship,84
0191,A,300,0,No rain,6.1,3,HAIYANGSHIYOU 771,150,234,Special Craft,Multi Purpose Offshore Vessel,65
0192,A,270,0,No rain,4.7,3,TOPA TUDO ANGRA,120,588,Tug,Tug,18
0193,A,300,0,No rain,2.6,2,MONTY ORR TIDE,150,368,Special Craft,Offshore Supply Ship,84
0194,A,230,0,No rain,6.2,3,ARCIMBALDO,150,36,Tug,Tug,30
0195,A,250,0,No rain,9.4,4,C OURO,100,77,Special Craft,Offshore Supply Ship,72
0196,A,300,0,No rain,5.8,3,PILOT 11,150,454,Special Craft,Pilot Vessel,13
0197,A,300,0,No rain,4.4,2,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0198,A,300,0,No rain,4.1,2,MILOS WARRIOR,150,359,Cargo,Bulk Carrier,292
0199,A,300,0,No rain,4.6,3,NESTRE OANNES,150,405,Fishing,Fishing Vessel,22
0200,A,300,0,No rain,1.9,1,SEALINK,150,514,Cargo,Bulk Carrier,292
0201,A,300,0,No rain,5.2,3,CAPE SUN,150,92,Cargo,Bulk Carrier,292
0202,A,300,0,No rain,4.2,2,CANCUN,150,83,Cargo,Bulk Carrier,300
0203,A,300,0,No rain,1.7,1,GELASHA,150,198,Cargo,Ore Carrier,328
0204,A,249,0,No rain,2.1,1,SAN FRANCISCA,150,502,Cargo,Container Ship,300
0205,A,300,0,No rain,3.2,2,CMA CGM LITANI,150,118,Cargo,Container Ship,300
0206,A,300,0,No rain,9.4,4,SAGA TIDE,150,494,Cargo,General Cargo,200
0207,A,299,0,No rain,13.4,6,SAN FERNANDO,149,501,Cargo,Container Ship,300
0208,A,300,0,No rain,1.9,1,HORIZON II,150,249,Cargo,Bulk Carrier,255
0209,A,300,0,No rain,2,1,COLUMBIA,150,124,Cargo,Bulk Carrier,190
0210,A,242,0,No rain,2.4,1,GOLDEN SCAPE,150,212,Cargo,Bulk Carrier,300
0211,A,270,0,No rain,2.1,1,SUNNY STAR,120,570,Cargo,Bulk Carrier,292
0212,A,300,0,No rain,5.1,3,CHINA STEEL EXPLORATION,150,114,Cargo,Bulk Carrier,300
0213,A,230,0,No rain,2.8,2,HERO,80,245,Cargo,Bulk Carrier,292
0214,A,300,0,No rain,4.2,2,TW BEIJING,150,606,Cargo,Bulk Carrier,229
0215,A,240,0,No rain,2.1,1,JONES TIDE,90,277,Special Craft,Offshore Supply Ship,84
0216,A,300,0,No rain,2.8,2,MAERSK LA PAZ,150,312,Cargo,Container Ship,300
0217,A,300,0,No rain,3.9,2,MAERSK LABERINTO,150,313,Cargo,Container Ship,300
0218,A,300,0,No rain,3.9,2,NAVIOS BUENA VENTURA,150,404,Cargo,Bulk Carrier,292
0219,A,229,0,No rain,1.7,1,MARAN FUTURE,79,332,Cargo,Bulk Carrier,292
0220,A,300,0,No rain,2.5,1,RIO DULCE / ORSOLA BOTTIGLIERI,150,481,Cargo,Bulk Carrier,292
0221,A,300,0,No rain,0,1,SILVER MANOORA,150,529,Tanker,Oil/Chemical Tanker,183
0222,A,300,0,No rain,0,1,SALLIE KNUTSEN,150,497,Tanker,Shuttle Tanker,274
0223,A,211,0,No rain,0,1,ADAMOON,150,5,Cargo,Bulk Carrier,150
0224,A,300,0,No rain,1.3,1,VANGELIS,150,619,Cargo,Bulk Carrier,295
0225,A,300,0,No rain,1.7,1,GRAMPUS CHARM,150,217,Cargo,Bulk Carrier,229
0226,A,300,0,No rain,2.2,1,ZHONG YUAN HAI YUN KAI TUO,150,643,Cargo,General Cargo,202
0227,A,211,0,No rain,4.8,3,CAPE BOSS,61,88,Cargo,Bulk Carrier,289
0228,A,220,1.2,Moderate,7.8,4,PILOT 14,70,456,Special Craft,Pilot Vessel,12
0229,A,300,0,No rain,2.1,1,WS TITAN,150,634,Tug,Tug,32
0230,A,280,0,No rain,4.7,3,PILOT 11,130,454,Special Craft,Pilot Vessel,13
0231,A,270,0,No rain,1.9,1,NORMAND TURMALINA,120,413,Special Craft,Anchor Handling Vessel,81
0232,A,240,0,No rain,6.4,3,NORMAND TURMALINA,140,413,Special Craft,Anchor Handling Vessel,81
0233,A,300,0,No rain,14.1,6,LOG IN PANTANAL,150,297,Cargo,Container Ship,182
0234,A,300,0,No rain,3.3,2,SONANGOL MAIOMBE,150,548,Tanker,Crude Oil Tanker,274
0235,A,270,0,No rain,8.2,4,CMA CGM NILE,120,120,Cargo,Container Ship,300
0236,A,300,0,No rain,4.3,2,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0237,A,300,0,No rain,4.7,3,CRATER,150,132,Tug,Tug,25
0238,A,240,0,No rain,8,4,PILOT 14,150,456,Special Craft,Pilot Vessel,12
0239,A,280,0,No rain,3.6,2,TAI SHINE,150,575,Cargo,Bulk Carrier,200
0240,A,220,1.2,Moderate,7.8,4,PILOT 14,70,456,Special Craft,Pilot Vessel,12
0241,A,284,0.4,Light,11.7,5,GRANDE AMBURGO,134,219,Cargo,Ro-Ro/Container Carrier,214
0242,A,300,0,No rain,2.1,1,WS TITAN,150,634,Tug,Tug,32
0243,A,280,0,No rain,4.7,3,PILOT 11,130,454,Special Craft,Pilot Vessel,13
0244,A,270,0,No rain,1.9,1,NORMAND TURMALINA,120,413,Special Craft,Anchor Handling Vessel,81
0245,A,240,0,No rain,6.4,3,NORMAND TURMALINA,140,413,Special Craft,Anchor Handling Vessel,81
0246,A,300,0,No rain,14.1,6,LOG IN PANTANAL,150,297,Cargo,Container Ship,182
0247,A,300,0,No rain,3.3,2,SONANGOL MAIOMBE,150,548,Tanker,Crude Oil Tanker,274
0248,A,270,0,No rain,8.2,4,CMA CGM NILE,120,120,Cargo,Container Ship,300
0249,A,300,0,No rain,4.3,2,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0250,A,300,0,No rain,4.7,3,CRATER,150,132,Tug,Tug,25
0251,A,240,0,No rain,8,4,PILOT 14,150,456,Special Craft,Pilot Vessel,12
0252,A,300,0,No rain,3.6,2,PILOT 08,150,451,Special Craft,Pilot Vessel,12
0253,A,280,0,No rain,3.6,2,TAI SHINE,150,575,Cargo,Bulk Carrier,200
0254,A,250,0,No rain,8.3,4,VALIANT,100,616,Cargo,Container Ship,300
0255,A,230,0,No rain,3.1,2,TB LUPUS,80,579,Tug,Tug,34
0256,A,300,0,No rain,3.1,2,PACIFIC ONYX,150,435,Tanker,Crude Oil Tanker,183
0257,A,220,0,No rain,4.4,2,COSCO SHIPPING VOLGA,70,127,Cargo,Container Ship,300
0258,A,300,0,No rain,2,1,NORMAND PIONEER,150,411,Tug,Tug/Supply Vessel,95
0259,A,300,0,No rain,3.1,2,MARTIN VAZ,150,346,Special Craft,Offshore Supply Ship,64
0260,A,300,0,No rain,5.3,3,SEAWAYS KENOSHA,150,518,Tanker,Oil/Chemical Tanker,183
0261,A,220,0,No rain,3.4,2,MSC AZOV,70,377,Cargo,Container Ship,300
0262,A,240, - , - , - , - ,MISS LILY,90,363,Pleasure Craft,Yacht,42
0263,A,300,0,No rain,0,1,DALLAS / STENA PROGRESS,150,140,Tanker,Crude Oil Tanker,183
0264,A,300,0,No rain,0.4,1,DALLAS / STENA PROGRESS,150,140,Tanker,Crude Oil Tanker,183
0265,A,300,0,No rain,0,1,AQUARIUS,150,32,Tug,Tug,32
0266,A,300,0,No rain,0.4,1,SEAWAYS NANTUCKET,150,519,Tanker,Oil/Chemical Tanker,183
0267,A,277,0,No rain,3.6,2,D&K ABDUL RAZZAK KHALID ZAID,150,136,Tanker,Oil/Chemical Tanker,183
0268,A,300,0,No rain,4.9,3,HANG BO 2003,150,238,Special Craft,Motor Hopper,72
0269,A,226,0,No rain,2.7,2,ISLAND PRINCESS,76,263,Passenger,Passenger Ship,294
0270,A,300,0,No rain,2.7,2,GREAT VISION,150,228,Cargo,Bulk Carrier,200
0271,A,212,0,No rain,2.7,2,FORTE DE SAO MARCOS,62,186,Tanker,LPG Tanker,124
0272,A,266,0,No rain,2.2,1,NS CREATION,116,417,Tanker,Crude Oil Tanker,244
0273,A,131,0,No rain,2.4,1,CAPTAIN DIAMANTIS,70,95,Cargo,Bulk Carrier,225
0274,A,300,0.4,Light,11.3,5,THOR SUPPLIER,150,581,Special Craft,Offshore Supply Ship,85
0275,A,300,0,No rain,4,2,NORMAND TURQUESA,150,414,Special Craft,Anchor Handling Vessel,81
0276,A,187,0,No rain,4.3,2,TS ALUCIINANTE,61,594,Tug,Tug,30
0277,A,300,0,No rain,3.1,2,TORDA,150,589,Special Craft,Offshore Supply Ship,85
0278,A,300,0,No rain,7.7,4,BETTYS DREAM,150,66,Cargo,Bulk Carrier,229
0279,A,246,0,No rain,2.6,2,HANG BO 2003,96,238,Special Craft,Motor Hopper,72
0280,A,150,0,No rain,3.5,2,MSC VIGO,62,397,Cargo,Container Ship,270
0281,A,206,0,No rain,5.6,3,MSC FANTASIA,83,385,Passenger,Passenger Ship,333
0282,A,286,1.6,Moderate,1.5,1,PILOT 09,150,452,Special Craft,Pilot Vessel,12
0283,A,266,2.4,Moderate,1.5,1,FLUMAR MACEIO,150,183,Tanker,Oil/Chemical Tanker,144
0284,A,194,0,No rain,6.3,3,SAAVEDRA TIDE,74,492,Special Craft,Offshore Supply Ship,84
